img_id,img_name,question,answer,q_lang,location,modality,answer_type,base_type,content_type,triple,qid
1,xmlab1/source.jpg,What modality is used to take this image?,MRI,en,Abdomen,MRI,OPEN,vqa,Modality,"['vhead', '_', '_']",0
1,xmlab1/source.jpg,Which part of the body does this image belong to?,Abdomen,en,Abdomen,MRI,OPEN,vqa,Position,"['vhead', '_', '_']",1
1,xmlab1/source.jpg,What is the mr weighting in this image?,T2,en,Abdomen,MRI,OPEN,vqa,Modality,"['vhead', '_', '_']",2
1,xmlab1/source.jpg,Does the picture contain liver?,Yes,en,Abdomen,MRI,CLOSED,vqa,Organ,"['vhead', '_', '_']",3
1,xmlab1/source.jpg,Does the picture contain kidney?,No,en,Abdomen,MRI,CLOSED,vqa,Organ,"['vhead', '_', '_']",4
1,xmlab1/source.jpg,Does the picture contain spleen?,No,en,Abdomen,MRI,CLOSED,vqa,Organ,"['vhead', '_', '_']",5
1,xmlab1/source.jpg,Where is the liver?,Right,en,Abdomen,MRI,OPEN,vqa,Position,"['vhead', '_', '_']",6
100,xmlab100/source.jpg,What modality is used to take this image?,CT,en,Lung,CT,OPEN,vqa,Modality,"['vhead', '_', '_']",7
100,xmlab100/source.jpg,Which part of the body does this image belong to?,Chest,en,Lung,CT,OPEN,vqa,Position,"['vhead', '_', '_']",8
100,xmlab100/source.jpg,What is the main organ in the image?,"Liver, Heart, Spleen, Lung",en,Lung,CT,OPEN,vqa,Organ,"['vhead', '_', '_']",9
100,xmlab100/source.jpg,What is the largest organ in the picture?,Liver,en,Lung,CT,OPEN,vqa,Size,"['vhead', '_', '_']",10
100,xmlab100/source.jpg,Does the picture contain liver?,Yes,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",11
100,xmlab100/source.jpg,Does the picture contain lung?,Yes,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",12
100,xmlab100/source.jpg,Does the picture contain heart?,Yes,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",13
100,xmlab100/source.jpg,Is the lung healthy?,Yes,en,Lung,CT,CLOSED,vqa,Abnormality,"['vhead', '_', '_']",14
100,xmlab100/source.jpg,"Which is the biggest in this image,lung,liver or heart?",Liver,en,Lung,CT,CLOSED,vqa,Size,"['vhead', '_', '_']",15
101,xmlab101/source.jpg,What modality is used to take this image?,CT,en,Lung,CT,OPEN,vqa,Modality,"['vhead', '_', '_']",16
101,xmlab101/source.jpg,Which part of the body does this image belong to?,Chest,en,Lung,CT,OPEN,vqa,Position,"['vhead', '_', '_']",17
101,xmlab101/source.jpg,What is the main organ in the image?,Spinal Cord,en,Lung,CT,OPEN,vqa,Organ,"['vhead', '_', '_']",18
101,xmlab101/source.jpg,Does the picture contain liver?,No,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",19
101,xmlab101/source.jpg,Does the picture contain lung?,No,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",20
101,xmlab101/source.jpg,Does the picture contain heart?,No,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",21
104,xmlab104/source.jpg,What modality is used to take this image?,CT,en,Abdomen,CT,OPEN,vqa,Modality,"['vhead', '_', '_']",22
104,xmlab104/source.jpg,Which part of the body does this image belong to?,Chest,en,Abdomen,CT,OPEN,vqa,Position,"['vhead', '_', '_']",23
104,xmlab104/source.jpg,What is the main organ in the image?,Lung,en,Abdomen,CT,OPEN,vqa,Organ,"['vhead', '_', '_']",24
104,xmlab104/source.jpg,What is the largest organ in the picture?,Lung,en,Abdomen,CT,OPEN,vqa,Size,"['vhead', '_', '_']",25
104,xmlab104/source.jpg,Does the picture contain liver?,No,en,Abdomen,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",26
104,xmlab104/source.jpg,Does the picture contain lung?,Yes,en,Abdomen,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",27
104,xmlab104/source.jpg,Does the picture contain heart?,No,en,Abdomen,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",28
104,xmlab104/source.jpg,What diseases are included in the picture?,Lung Cancer,en,Abdomen,CT,OPEN,vqa,Abnormality,"['vhead', '_', '_']",29
104,xmlab104/source.jpg,Does the lung look abnormal?,Yes,en,Abdomen,CT,CLOSED,vqa,Abnormality,"['vhead', '_', '_']",30
104,xmlab104/source.jpg,Where is/are the abnormality located?,"Right Lung, Left",en,Abdomen,CT,OPEN,vqa,Position,"['vhead', '_', '_']",31
107,xmlab107/source.jpg,What modality is used to take this image?,CT,en,Lung,CT,OPEN,vqa,Modality,"['vhead', '_', '_']",32
107,xmlab107/source.jpg,Which part of the body does this image belong to?,Chest,en,Lung,CT,OPEN,vqa,Position,"['vhead', '_', '_']",33
107,xmlab107/source.jpg,What is the main organ in the image?,"Lung, Heart",en,Lung,CT,OPEN,vqa,Organ,"['vhead', '_', '_']",34
107,xmlab107/source.jpg,What is the largest organ in the picture?,Lung,en,Lung,CT,OPEN,vqa,Size,"['vhead', '_', '_']",35
107,xmlab107/source.jpg,Does the picture contain liver?,No,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",36
107,xmlab107/source.jpg,Does the picture contain lung?,Yes,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",37
107,xmlab107/source.jpg,Does the picture contain heart?,Yes,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",38
107,xmlab107/source.jpg,What diseases are included in the picture?,None,en,Lung,CT,OPEN,vqa,Abnormality,"['vhead', '_', '_']",39
107,xmlab107/source.jpg,Is the lung healthy?,Yes,en,Lung,CT,CLOSED,vqa,Abnormality,"['vhead', '_', '_']",40
107,xmlab107/source.jpg,"Which is the bigger in this image,lung or heart?",Lung,en,Lung,CT,CLOSED,vqa,Size,"['vhead', '_', '_']",41
108,xmlab108/source.jpg,What modality is used to take this image?,CT,en,Lung,CT,OPEN,vqa,Modality,"['vhead', '_', '_']",42
108,xmlab108/source.jpg,Which part of the body does this image belong to?,Chest,en,Lung,CT,OPEN,vqa,Position,"['vhead', '_', '_']",43
108,xmlab108/source.jpg,What is the main organ in the image?,"Lung, Heart",en,Lung,CT,OPEN,vqa,Organ,"['vhead', '_', '_']",44
108,xmlab108/source.jpg,What is the largest organ in the picture?,Lung,en,Lung,CT,OPEN,vqa,Size,"['vhead', '_', '_']",45
108,xmlab108/source.jpg,Does the picture contain liver?,No,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",46
108,xmlab108/source.jpg,Does the picture contain lung?,Yes,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",47
108,xmlab108/source.jpg,Does the picture contain heart?,Yes,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",48
108,xmlab108/source.jpg,What diseases are included in the picture?,Lung Cancer,en,Lung,CT,OPEN,vqa,Abnormality,"['vhead', '_', '_']",49
108,xmlab108/source.jpg,Does the lung look normal?,No,en,Lung,CT,CLOSED,vqa,Abnormality,"['vhead', '_', '_']",50
108,xmlab108/source.jpg,Where is/are the abnormality located?,"Left Lung, Right",en,Lung,CT,OPEN,vqa,Position,"['vhead', '_', '_']",51
108,xmlab108/source.jpg,"Which is the bigger in this image, lung or heart?",Lung,en,Lung,CT,CLOSED,vqa,Size,"['vhead', '_', '_']",52
109,xmlab109/source.jpg,What modality is used to take this image?,CT,en,Lung,CT,OPEN,vqa,Modality,"['vhead', '_', '_']",53
109,xmlab109/source.jpg,Which part of the body does this image belong to?,Chest,en,Lung,CT,OPEN,vqa,Position,"['vhead', '_', '_']",54
109,xmlab109/source.jpg,What is the main organ in the image?,"Lung, Heart",en,Lung,CT,OPEN,vqa,Organ,"['vhead', '_', '_']",55
109,xmlab109/source.jpg,What is the largest organ in the picture?,Lung,en,Lung,CT,OPEN,vqa,Size,"['vhead', '_', '_']",56
109,xmlab109/source.jpg,Does the picture contain liver?,No,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",57
109,xmlab109/source.jpg,Does the picture contain lung?,Yes,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",58
109,xmlab109/source.jpg,Does the picture contain heart?,Yes,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",59
109,xmlab109/source.jpg,What diseases are included in the picture?,Lung Cancer,en,Lung,CT,OPEN,vqa,Abnormality,"['vhead', '_', '_']",60
109,xmlab109/source.jpg,Where is/are the abnormality located?,"Left Lung, Lower Right",en,Lung,CT,OPEN,vqa,Position,"['vhead', '_', '_']",61
109,xmlab109/source.jpg,Does the lung look normal?,No,en,Lung,CT,CLOSED,vqa,Abnormality,"['vhead', '_', '_']",62
109,xmlab109/source.jpg,"Which is the bigger in this image, lung or heart?",Lung,en,Lung,CT,CLOSED,vqa,Size,"['vhead', '_', '_']",63
11,xmlab11/source.jpg,What modality is used to take this image?,MRI,en,Abdomen,MRI,OPEN,vqa,Modality,"['vhead', '_', '_']",64
11,xmlab11/source.jpg,Which part of the body does this image belong to?,Abdomen,en,Abdomen,MRI,OPEN,vqa,Position,"['vhead', '_', '_']",65
11,xmlab11/source.jpg,What is the mr weighting in this image?,T2,en,Abdomen,MRI,OPEN,vqa,Modality,"['vhead', '_', '_']",66
11,xmlab11/source.jpg,Does spleen look abnormal?,No,en,Abdomen,MRI,CLOSED,vqa,Abnormality,"['vhead', '_', '_']",67
11,xmlab11/source.jpg,Does the picture contain liver?,Yes,en,Abdomen,MRI,CLOSED,vqa,Organ,"['vhead', '_', '_']",68
11,xmlab11/source.jpg,Does the picture contain kidney?,No,en,Abdomen,MRI,CLOSED,vqa,Organ,"['vhead', '_', '_']",69
11,xmlab11/source.jpg,Does the picture contain spleen?,Yes,en,Abdomen,MRI,CLOSED,vqa,Organ,"['vhead', '_', '_']",70
11,xmlab11/source.jpg,Where is the spleen?,Lower right,en,Abdomen,MRI,OPEN,vqa,Position,"['vhead', '_', '_']",71
110,xmlab110/source.jpg,What modality is used to take this image?,CT,en,Lung,CT,OPEN,vqa,Modality,"['vhead', '_', '_']",72
110,xmlab110/source.jpg,Which part of the body does this image belong to?,Chest,en,Lung,CT,OPEN,vqa,Position,"['vhead', '_', '_']",73
110,xmlab110/source.jpg,What is the main organ in the image?,"Lung, Heart",en,Lung,CT,OPEN,vqa,Organ,"['vhead', '_', '_']",74
110,xmlab110/source.jpg,What is the largest organ in the picture?,Lung,en,Lung,CT,OPEN,vqa,Size,"['vhead', '_', '_']",75
110,xmlab110/source.jpg,Does the picture contain liver?,No,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",76
110,xmlab110/source.jpg,Does the picture contain lung?,Yes,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",77
110,xmlab110/source.jpg,Does the picture contain heart?,Yes,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",78
110,xmlab110/source.jpg,What diseases are included in the picture?,Lung Cancer,en,Lung,CT,OPEN,vqa,Abnormality,"['vhead', '_', '_']",79
110,xmlab110/source.jpg,Is the lung healthy?,No,en,Lung,CT,CLOSED,vqa,Abnormality,"['vhead', '_', '_']",80
110,xmlab110/source.jpg,Where is/are the abnormality located?,"Left Lung, Lower Right",en,Lung,CT,OPEN,vqa,Position,"['vhead', '_', '_']",81
110,xmlab110/source.jpg,"Which is the biggest in this image,lung,liver or heart?",Lung,en,Lung,CT,CLOSED,vqa,Size,"['vhead', '_', '_']",82
111,xmlab111/source.jpg,What modality is used to take this image?,CT,en,Lung,CT,OPEN,vqa,Modality,"['vhead', '_', '_']",83
111,xmlab111/source.jpg,Which part of the body does this image belong to?,Chest,en,Lung,CT,OPEN,vqa,Position,"['vhead', '_', '_']",84
111,xmlab111/source.jpg,What is the main organ in the image?,"Lung, Liver",en,Lung,CT,OPEN,vqa,Organ,"['vhead', '_', '_']",85
111,xmlab111/source.jpg,What is the largest organ in the picture?,Liver,en,Lung,CT,OPEN,vqa,Size,"['vhead', '_', '_']",86
111,xmlab111/source.jpg,Does the picture contain liver?,Yes,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",87
111,xmlab111/source.jpg,Does the picture contain lung?,Yes,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",88
111,xmlab111/source.jpg,Does the picture contain heart?,No,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",89
111,xmlab111/source.jpg,Is the lung healthy?,Yes,en,Lung,CT,CLOSED,vqa,Abnormality,"['vhead', '_', '_']",90
111,xmlab111/source.jpg,"Which is the biggest in this image,lung,liver or heart?",Liver,en,Lung,CT,CLOSED,vqa,Size,"['vhead', '_', '_']",91
113,xmlab113/source.jpg,What modality is used to take this image?,CT,en,Lung,CT,OPEN,vqa,Modality,"['vhead', '_', '_']",92
113,xmlab113/source.jpg,Which part of the body does this image belong to?,Chest,en,Lung,CT,OPEN,vqa,Position,"['vhead', '_', '_']",93
113,xmlab113/source.jpg,What is the main organ in the image?,Lung,en,Lung,CT,OPEN,vqa,Organ,"['vhead', '_', '_']",94
113,xmlab113/source.jpg,What is the largest organ in the picture?,Lung,en,Lung,CT,OPEN,vqa,Size,"['vhead', '_', '_']",95
113,xmlab113/source.jpg,Does the picture contain liver?,No,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",96
113,xmlab113/source.jpg,Does the picture contain lung?,Yes,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",97
113,xmlab113/source.jpg,What diseases are included in the picture?,Lung Cancer,en,Lung,CT,OPEN,vqa,Abnormality,"['vhead', '_', '_']",98
113,xmlab113/source.jpg,Does the lung look normal?,No,en,Lung,CT,CLOSED,vqa,Abnormality,"['vhead', '_', '_']",99
113,xmlab113/source.jpg,Where is/are the abnormality located?,"Right Lung, Lower Left",en,Lung,CT,OPEN,vqa,Position,"['vhead', '_', '_']",100
113,xmlab113/source.jpg,"Which is the biggest in this image,lung,liver or heart?",Lung,en,Lung,CT,CLOSED,vqa,Size,"['vhead', '_', '_']",101
114,xmlab114/source.jpg,What modality is used to take this image?,CT,en,Lung,CT,OPEN,vqa,Modality,"['vhead', '_', '_']",102
114,xmlab114/source.jpg,Which part of the body does this image belong to?,Chest,en,Lung,CT,OPEN,vqa,Position,"['vhead', '_', '_']",103
114,xmlab114/source.jpg,What is the main organ in the image?,"Lung, Heart",en,Lung,CT,OPEN,vqa,Organ,"['vhead', '_', '_']",104
114,xmlab114/source.jpg,What is the largest organ in the picture?,Lung,en,Lung,CT,OPEN,vqa,Size,"['vhead', '_', '_']",105
114,xmlab114/source.jpg,Does the picture contain liver?,No,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",106
114,xmlab114/source.jpg,Does the picture contain lung?,Yes,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",107
114,xmlab114/source.jpg,Does the picture contain heart?,Yes,en,Lung,CT,CLOSED,vqa,Organ,"['vhead', '_', '_']",108
114,xmlab114/source.jpg,What diseases are included in the picture?,None,en,Lung,CT,OPEN,vqa,Abnormality,"['vhead', '_', '_']",109
114,xmlab114/source.jpg,Is the lung healthy?,Yes,en,Lung,CT,CLOSED,vqa,Abnormality,"['vhead', '_', '_']",110
114,xmlab114/source.jpg,"Which is bigger in this image,lung or heart?",Lung,en,Lung,CT,CLOSED,vqa,Size,"['vhead', '_', '_']",111
115,xmlab115/source.jpg,What modality is used to take this image?,CT,en,Lung,CT,OPEN,vqa,Modality,"['vhead', '_', '_']",112
